PLAYER NAME,TIERS,SALARY_M
Josh Allen,1,27.5
Joe Burrow,1,27.5
Lamar Jackson,1,26.0
Jalen Hurts,1,25.5
Patrick Mahomes,1,22.5
Justin Fields,1,10.0
Cam Ward,1,6.1
Caleb Williams,1,4.9
Jayden Daniels,1,4.7
Drake Maye,1,4.6
C.J. Stroud,1,4.5
Anthony Richardson,1,4.2
Michael Penix Jr.,1,2.9
J.J. McCarthy,1,2.7
Bo Nix,1,2.3
Jaxson Dart,1,2.1
Tyler Shough,1,1.4
Shedeur Sanders,1,0.6
Spencer Rattler,1,0.5
