RK,TIERS,PLAYER NAME,TEAM,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS ADP
1,1,Ja'Marr Chase,CIN,25,1,2,1.1,0.4,-
2,1,Justin Jefferson,MIN,26,1,3,1.9,0.4,-
3,1,CeeDee Lamb,DAL,26,3,5,3.4,0.6,-
4,1,Malik Nabers,NYG,21,3,6,4.0,0.8,-
5,2,Puka Nacua,LAR,24,5,8,5.5,0.7,-
6,2,Amon-Ra St. Brown,DET,25,4,9,6.3,1.4,-
7,2,Brian Thomas Jr.,JAC,22,4,8,6.3,1.1,-
8,2,Nico Collins,HOU,26,7,10,8.1,0.8,-
9,2,Drake London,ATL,23,6,11,8.8,1.2,-
10,3,Ladd McConkey,LAC,23,9,14,10.9,1.4,-
11,3,A.J. Brown,PHI,28,9,15,11.4,1.8,-
12,3,Jaxon Smith-Njigba,SEA,23,10,15,12.8,1.6,-
13,3,Garrett Wilson,NYJ,24,9,15,12.9,1.6,-
14,3,Marvin Harrison Jr.,ARI,22,10,18,13.6,2.0,-
15,3,Tee Higgins,CIN,26,15,20,16.4,1.3,-
16,4,Tetairoa McMillan,CAR,22,11,43,17.3,6.6,-
17,4,Travis Hunter,JAC,22,13,32,17.4,4.1,-
