PLAYER NAME,TIERS,SALARY_M
George Kittle,1,19.1
Trey McBride,1,19.0
Travis Kelce,1,17.1
T.J. Hockenson,1,16.5
Mark Andrews,1,14.0
Kyle Pitts,1,8.2
Colston Loveland,1,6.7
Zach Ertz,1,6.2
Noah Gray,1,6.0
Tyler Warren,1,5.2
Brock Bowers,1,4.5
Dalton Kincaid,1,3.4
Mason Taylor,1,2.6
Terrance Ferguson,1,2.4
Sam LaPorta,1,2.4
Elijah Arroyo,1,2.2
Brenton Strange,1,1.5
Tucker Kraft,1,1.4
Jake Ferguson,1,1.1
Isaiah Likely,1,1.0
